shipment_id,product_id,stock_on_hand,recorded_at
S00001,Water Troughs / Water Buckets,9514,07/01/2025 13:35
S00002,Stable Brooms / Yard Brushes,32608,05/02/2025 15:14
S00003,Feed Buckets / Feed Tubs,8665,03/02/2025 18:29
S00004,Stable Brooms / Yard Brushes,9213,13/01/2025 06:00
S00005,Stable Brooms / Yard Brushes,9213,13/01/2025 11:45
S00006,Shovels / Rakes,8728,22/01/2025 19:27
S00007,Shovels / Rakes,4146,12/01/2025 06:42
S00008,Stable Brooms / Yard Brushes,10896,02/02/2025 07:03
S00009,Rubber Matting (for stalls and walkways),14329,04/02/2025 09:13
S00010,Water Troughs / Water Buckets,20315,13/01/2025 18:41
S00011,Rubber Matting (for stalls and walkways),5524,24/01/2025 06:28
S00012,Rubber Matting (for stalls and walkways),17229,03/02/2025 20:29
S00013,Stable Brooms / Yard Brushes,6073,10/01/2025 21:06
S00014,Stable Brooms / Yard Brushes,4227,16/01/2025 10:59
S00015,Muck Forks / Stable Forks,17876,31/01/2025 13:47
S00016,Muck Forks / Stable Forks,13742,30/01/2025 18:10
S00017,Feed Buckets / Feed Tubs,544,05/01/2025 19:21
S00018,Muck Forks / Stable Forks,4374,07/01/2025 20:34
S00019,Stable Brooms / Yard Brushes,6073,10/01/2025 16:06
S00020,Storage Bins / Feed Storage,16672,20/01/2025 09:32
S00021,Muck Forks / Stable Forks,14094,15/01/2025 08:54
S00022,Storage Bins / Feed Storage,14351,05/02/2025 14:24
S00023,Feed Buckets / Feed Tubs,17935,25/01/2025 10:52
S00024,Feed Buckets / Feed Tubs,5485,08/01/2025 11:48
S00025,Stable Brooms / Yard Brushes,6073,10/01/2025 06:15
S00026,Rubber Matting (for stalls and walkways),9286,28/01/2025 21:06
S00027,Manure Scoops,7852,15/01/2025 08:42
S00028,Storage Bins / Feed Storage,16672,20/01/2025 17:34
S00029,Hay Nets / Hay Bags,3942,05/01/2025 14:38
S00030,Stable Brooms / Yard Brushes,13847,26/01/2025 21:35
S00031,Water Troughs / Water Buckets,7453,06/01/2025 11:38
S00032,Stable Brooms / Yard Brushes,15537,12/01/2025 18:22
S00033,Feed Buckets / Feed Tubs,23669,19/01/2025 08:19
S00034,Stable Brooms / Yard Brushes,1740,14/01/2025 11:46
S00035,Muck Forks / Stable Forks,2346,10/01/2025 14:29
S00036,Feed Buckets / Feed Tubs,33588,04/02/2025 15:20
S00037,Storage Bins / Feed Storage,4723,05/01/2025 15:50
S00038,Manure Scoops,11234,09/01/2025 13:45
S00039,Storage Bins / Feed Storage,22997,22/01/2025 13:46
S00040,Stable Brooms / Yard Brushes,10896,02/02/2025 17:52
S00041,Stable Brooms / Yard Brushes,4562,09/01/2025 12:16
S00042,Feed Buckets / Feed Tubs,5485,08/01/2025 18:48
S00043,Muck Forks / Stable Forks,29781,02/02/2025 16:00
S00044,Hay Nets / Hay Bags,11560,11/01/2025 12:47
S00045,Water Troughs / Water Buckets,7453,06/01/2025 12:38
S00046,Manure Scoops,4962,07/01/2025 06:26
S00047,Feed Buckets / Feed Tubs,11162,10/01/2025 15:29
S00048,Manure Scoops,11234,09/01/2025 18:01
S00049,Feed Buckets / Feed Tubs,10560,11/01/2025 05:57
S00050,Rubber Matting (for stalls and walkways),6514,27/01/2025 12:05
S00051,Feed Buckets / Feed Tubs,17935,25/01/2025 09:58
S00052,Feed Buckets / Feed Tubs,2564,06/01/2025 17:22
S00053,Hay Nets / Hay Bags,2910,09/01/2025 12:47
S00054,Stable Brooms / Yard Brushes,20345,31/01/2025 21:08
S00055,Rubber Matting (for stalls and walkways),6481,26/01/2025 17:59
S00056,Shovels / Rakes,4983,14/01/2025 05:17
S00057,Water Troughs / Water Buckets,7453,06/01/2025 05:36
S00058,Storage Bins / Feed Storage,1374,06/01/2025 16:24
S00059,Manure Scoops,11234,09/01/2025 11:22
S00060,Storage Bins / Feed Storage,13488,24/01/2025 05:38
S00061,Shovels / Rakes,18702,30/01/2025 07:32
S00062,Manure Scoops,514,11/01/2025 06:56
S00063,Feed Buckets / Feed Tubs,17935,25/01/2025 15:37
