shipment_id,product_id,units_ordered,units_received,unit_cost_GBP,freight_cost_GBP
S00001,Water Troughs / Water Buckets,4764,4764,27.25,1813.47
S00002,Stable Brooms / Yard Brushes,665,628,34.46,2334.16
S00003,Feed Buckets / Feed Tubs,657,657,16.09,970.38
S00004,Stable Brooms / Yard Brushes,1360,1213,29.53,1968.89
S00005,Stable Brooms / Yard Brushes,1529,1529,12.35,807.81
S00006,Shovels / Rakes,2191,2191,32.99,1567.45
S00007,Shovels / Rakes,2224,2224,33.7,1883.67
S00008,Stable Brooms / Yard Brushes,1396,1396,32.98,253.33
S00009,Rubber Matting (for stalls and walkways),1017,1017,25.69,1811.53
S00010,Water Troughs / Water Buckets,4012,4012,16.31,799.53
S00011,Rubber Matting (for stalls and walkways),2944,2629,11.96,1040.46
S00012,Rubber Matting (for stalls and walkways),4137,4137,8.65,323.87
S00013,Stable Brooms / Yard Brushes,1601,1601,7.45,1235.95
S00014,Stable Brooms / Yard Brushes,596,596,6.99,2142.76
S00015,Muck Forks / Stable Forks,4481,4481,25.05,1808.97
S00016,Muck Forks / Stable Forks,2753,2753,15.93,1772.1
S00017,Feed Buckets / Feed Tubs,544,544,0.94,631.61
S00018,Muck Forks / Stable Forks,4374,4374,6.64,214.82
S00019,Stable Brooms / Yard Brushes,585,585,25.87,76
S00020,Storage Bins / Feed Storage,4872,4872,16.78,1306.47
S00021,Muck Forks / Stable Forks,712,712,21.43,1622.87
S00022,Storage Bins / Feed Storage,1652,1652,27.67,1885.22
S00023,Feed Buckets / Feed Tubs,185,NULL,11.95,160.49
S00024,Feed Buckets / Feed Tubs,1552,1552,12.37,1659.26
S00025,Stable Brooms / Yard Brushes,414,NULL,27.35,2414.43
S00026,Rubber Matting (for stalls and walkways),2715,2715,2.65,1557.12
S00027,Manure Scoops,3950,3950,21.22,584.19
S00028,Storage Bins / Feed Storage,825,825,15.88,148.12
S00029,Hay Nets / Hay Bags,3942,3942,21.91,690.68
S00030,Stable Brooms / Yard Brushes,1885,1885,14.66,1917.53
S00031,Water Troughs / Water Buckets,858,858,8.32,2229.26
S00032,Stable Brooms / Yard Brushes,584,584,31.03,303.59
S00033,Feed Buckets / Feed Tubs,3719,3719,33.84,186.81
S00034,Stable Brooms / Yard Brushes,1165,1165,18.83,2075.24
S00035,Muck Forks / Stable Forks,1679,1679,15.48,1856.21
S00036,Feed Buckets / Feed Tubs,3826,3826,20.96,1027.86
S00037,Storage Bins / Feed Storage,4723,4723,14.41,1990.95
S00038,Manure Scoops,2356,2356,3.26,1959.48
S00039,Storage Bins / Feed Storage,2885,2885,30.05,1119.41
S00040,Stable Brooms / Yard Brushes,1081,1081,20.21,909.79
