id,supplier_id,order_date,promised_date,delivery_date,time_to_deliver,status
S00001,BarnWare,01/01/2025,07/01/2025,07/01/2025,6,On-Time
S00002,EuroMat,01/01/2025,05/02/2025,05/02/2025,35,Mismatch
S00003,EuroMat,01/01/2025,03/02/2025,03/02/2025,33,On-Time
S00004,UKTools,01/01/2025,12/01/2025,13/01/2025,12,Delayed/Partial
S00005,UKTools,01/01/2025,13/01/2025,13/01/2025,12,On-Time
S00006,AgroSupply,01/01/2025,22/01/2025,22/01/2025,21,On-Time
S00007,UKTools,01/01/2025,12/01/2025,12/01/2025,11,On-Time
S00008,EuroMat,01/01/2025,02/02/2025,02/02/2025,32,On-Time
S00009,AgroSupply,01/01/2025,04/02/2025,04/02/2025,34,On-Time
S00010,BarnWare,01/01/2025,13/01/2025,13/01/2025,12,On-Time
S00011,AgroSupply,01/01/2025,24/01/2025,24/01/2025,23,Mismatch
S00012,EuroMat,01/01/2025,03/02/2025,03/02/2025,33,On-Time
S00013,BarnWare,01/01/2025,10/01/2025,10/01/2025,9,On-Time
S00014,UKTools,01/01/2025,14/01/2025,16/01/2025,15,Delayed/Partial
S00015,AgroSupply,01/01/2025,01/02/2025,31/01/2025,30,On-Time
S00016,AgroSupply,01/01/2025,30/01/2025,30/01/2025,29,On-Time
S00017,AsiaPlast,01/01/2025,05/01/2025,05/01/2025,4,On-Time
S00018,UKTools,01/01/2025,07/01/2025,07/01/2025,6,On-Time
S00019,BarnWare,01/01/2025,10/01/2025,10/01/2025,9,On-Time
S00020,EuroMat,01/01/2025,19/01/2025,20/01/2025,19,Delayed/Partial
S00021,UKTools,01/01/2025,15/01/2025,15/01/2025,14,On-Time
S00022,EuroMat,01/01/2025,04/02/2025,05/02/2025,35,Delayed/Partial
S00023,EuroMat,01/01/2025,25/01/2025,25/01/2025,24,On-Time
S00024,AsiaPlast,01/01/2025,09/01/2025,08/01/2025,7,On-Time
S00025,BarnWare,01/01/2025,10/01/2025,10/01/2025,9,On-Time
S00026,AgroSupply,01/01/2025,27/01/2025,28/01/2025,27,Delayed/Partial
S00027,BarnWare,01/01/2025,15/01/2025,15/01/2025,14,On-Time
S00028,EuroMat,01/01/2025,20/01/2025,20/01/2025,19,On-Time
S00029,AsiaPlast,01/01/2025,05/01/2025,05/01/2025,4,On-Time
S00030,EuroMat,01/01/2025,26/01/2025,26/01/2025,25,On-Time
S00031,AsiaPlast,01/01/2025,06/01/2025,06/01/2025,5,On-Time
S00032,BarnWare,01/01/2025,12/01/2025,12/01/2025,11,On-Time
S00033,EuroMat,01/01/2025,19/01/2025,19/01/2025,18,On-Time
S00034,UKTools,01/01/2025,14/01/2025,14/01/2025,13,On-Time
S00035,UKTools,01/01/2025,09/01/2025,10/01/2025,9,Delayed/Partial
S00036,EuroMat,01/01/2025,04/02/2025,04/02/2025,34,On-Time
S00037,AsiaPlast,01/01/2025,05/01/2025,05/01/2025,4,On-Time
S00038,BarnWare,01/01/2025,09/01/2025,09/01/2025,8,On-Time
S00039,EuroMat,01/01/2025,22/01/2025,22/01/2025,21,On-Time
S00040,EuroMat,01/01/2025,02/02/2025,02/02/2025,32,On-Time
S00041,UKTools,01/01/2025,12/01/2025,09/01/2025,8,On-Time
S00042,BarnWare,01/01/2025,07/01/2025,08/01/2025,7,Delayed/Partial
S00043,AgroSupply,01/01/2025,01/02/2025,02/02/2025,32,Delayed/Partial
S00044,AsiaPlast,01/01/2025,11/01/2025,11/01/2025,10,On-Time
S00045,AsiaPlast,01/01/2025,06/01/2025,06/01/2025,5,On-Time
S00046,BarnWare,01/01/2025,07/01/2025,07/01/2025,6,On-Time
S00047,AsiaPlast,01/01/2025,11/01/2025,10/01/2025,9,On-Time
S00048,BarnWare,01/01/2025,09/01/2025,09/01/2025,8,On-Time
S00049,BarnWare,01/01/2025,12/01/2025,11/01/2025,10,On-Time
S00050,EuroMat,01/01/2025,26/01/2025,27/01/2025,26,Delayed/Partial
S00051,EuroMat,01/01/2025,25/01/2025,25/01/2025,24,On-Time
S00052,AsiaPlast,01/01/2025,06/01/2025,06/01/2025,5,On-Time
S00053,AsiaPlast,01/01/2025,09/01/2025,09/01/2025,8,On-Time
S00054,EuroMat,01/01/2025,31/01/2025,31/01/2025,30,On-Time
S00055,AgroSupply,01/01/2025,29/01/2025,26/01/2025,25,On-Time
S00056,UKTools,01/01/2025,14/01/2025,14/01/2025,13,On-Time
S00057,AsiaPlast,01/01/2025,07/01/2025,06/01/2025,5,On-Time
S00058,AsiaPlast,02/01/2025,06/01/2025,06/01/2025,4,On-Time
S00059,BarnWare,02/01/2025,09/01/2025,09/01/2025,7,On-Time
S00060,EuroMat,02/01/2025,22/01/2025,24/01/2025,22,Delayed/Partial
S00061,AgroSupply,02/01/2025,30/01/2025,30/01/2025,28,On-Time
S00062,BarnWare,02/01/2025,11/01/2025,11/01/2025,9,On-Time
S00063,EuroMat,02/01/2025,25/01/2025,25/01/2025,23,On-Time
S00064,UKTools,02/01/2025,15/01/2025,15/01/2025,13,On-Time
